At. num,Sp. Name,Ion Charge,El. Name,Binding Energy (a) (eV),Uncertainty (b) (eV)
"1","H I","0","Hydrogen","13.598434599702","0.000000000012"
"2","He I","0","Helium","79.005154539","0.000000025"
"2","He II","+1","Helium","54.4177655282","0.0000000010"
"3","Li I","0","Lithium","203.4861711","0.0000012"
"3","Li II","+1","Lithium","198.0944562","0.0000012"
"3","Li III","+2","Lithium","122.45435913","0.00000011"
"4","Be I","0","Beryllium","399.14864","0.00005"
"4","Be II","+1","Beryllium","389.82595","0.00005"
"4","Be III","+2","Beryllium","371.614789","0.000004"
"4","Be IV","+3","Beryllium","217.71858459","0.00000010"
"5","B I","0","Boron","670.98383","0.00009"
"5","B II","+1","Boron","662.68582","0.00009"
"5","B III","+2","Boron","637.53099","0.00007"
"5","B IV","+3","Boron","599.600401","0.000010"
"5","B V","+4","Boron","340.2260225","0.0000006"
"6","C I","0","Carbon","1030.1085","0.0004"
"6","C II","+1","Carbon","1018.8482","0.0004"
"6","C III","+2","Carbon","994.4651","0.0004"
"6","C IV","+3","Carbon","946.57727","0.00019"
"6","C V","+4","Carbon","882.08376","0.00004"
"6","C VI","+5","Carbon","489.99320779","0.00000022"
"7","N I","0","Nitrogen","1486.058","0.003"
"7","N II","+1","Nitrogen","1471.524","0.003"
"7","N III","+2","Nitrogen","1441.9225","0.0025"
"7","N IV","+3","Nitrogen","1394.4772","0.0005"
"7","N V","+4","Nitrogen","1317.0037","0.0004"
"7","N VI","+5","Nitrogen","1219.11355","0.00009"
"7","N VII","+6","Nitrogen","667.0461377","0.0000007"
"8","O I","0","Oxygen","2043.8429","0.0022"
"8","O II","+1","Oxygen","2030.2249","0.0022"
"8","O III","+2","Oxygen","1995.1038","0.0022"
"8","O IV","+3","Oxygen","1940.1682","0.0022"
"8","O V","+4","Oxygen","1862.7547","0.0022"
"8","O VI","+5","Oxygen","1748.8558","0.0021"
"8","O VII","+6","Oxygen","1610.73688","0.00015"
"8","O VIII","+7","Oxygen","871.4099138","0.0000012"
"9","F I","0","Fluorine","2715.891","0.024"
"9","F II","+1","Fluorine","2698.468","0.024"
"9","F III","+2","Fluorine","2663.497","0.024"
"9","F IV","+3","Fluorine","2600.789","0.024"
"9","F V","+4","Fluorine","2513.615","0.006"
"9","F VI","+5","Fluorine","2399.3658","0.0007"
"9","F VII","+6","Fluorine","2242.2027","0.0006"
"9","F VIII","+7","Fluorine","2057.0158","0.0003"
"9","F IX","+8","Fluorine","1103.1175302","0.0000019"
"10","Ne I","0","Neon","3511.696","0.019"
"10","Ne II","+1","Neon","3490.132","0.019"
"10","Ne III","+2","Neon","3449.168","0.019"
"10","Ne IV","+3","Neon","3385.746","0.019"
"10","Ne V","+4","Neon","3288.556","0.019"
"10","Ne VI","+5","Neon","3162.309","0.014"
"10","Ne VII","+6","Neon","3004.375","0.012"
"10","Ne VIII","+7","Neon","2797.1045","0.0019"
"10","Ne IX","+8","Neon","2558.0075","0.0005"
"10","Ne X","+9","Neon","1362.199256","0.000004"
"11","Na I","0","Sodium","4419.96","0.10"
"11","Na II","+1","Sodium","4414.83","0.10"
"11","Na III","+2","Sodium","4367.54","0.10"
"11","Na IV","+3","Sodium","4295.92","0.10"
"11","Na V","+4","Sodium","4196.99","0.09"
"11","Na VI","+5","Sodium","4058.59","0.09"
"11","Na VII","+6","Sodium","3886.36","0.04"
"11","Na VIII","+7","Sodium","3677.849","0.024"
"11","Na IX","+8","Sodium","3413.657","0.007"
"11","Na X","+9","Sodium","3113.8014","0.0006"
"11","Na XI","+10","Sodium","1648.702285","0.000005"
"12","Mg I","0","Magnesium","5451.06","0.16"
"12","Mg II","+1","Magnesium","5443.41","0.16"
"12","Mg III","+2","Magnesium","5428.39","0.16"
"12","Mg IV","+3","Magnesium","5348.24","0.16"
"12","Mg V","+4","Magnesium","5238.98","0.16"
"12","Mg VI","+5","Magnesium","5097.64","0.12"
"12","Mg VII","+6","Magnesium","4910.88","0.11"
"12","Mg VIII","+7","Magnesium","4685.87","0.06"
"12","Mg IX","+8","Magnesium","4419.94","0.04"
"12","Mg X","+9","Magnesium","4091.958","0.007"
